"","Entity","Code","Year","GDP from tourism as a share of total GDP"
"1","Australia","AUS",2008,2.9
"2","Australia","AUS",2009,2.8
"3","Australia","AUS",2010,2.7
"4","Australia","AUS",2011,2.7
"5","Australia","AUS",2012,2.8
"6","Australia","AUS",2013,2.9
"7","Australia","AUS",2014,3
"8","Australia","AUS",2015,3.1
"9","Australia","AUS",2016,3.1
"10","Australia","AUS",2017,3.1
"11","Australia","AUS",2018,3.1
"12","Australia","AUS",2019,2.4
"13","Australia","AUS",2020,1.4
"14","Australia","AUS",2021,1.5
"15","Australia","AUS",2022,2.5
